location,month,attempted_url,status,error,notes
"Anuradhapura_Polonnaruwa","March","https://www.acju.lk/wp-content/uploads/2025/07/05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-3-Mar-scaled.jpg","0","getaddrinfo ENOTFOUND www.acju.lk","Download failed"
"Anuradhapura_Polonnaruwa","March","https://www.acju.lk/wp-content/uploads/2025/07/05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-3-Mar.pdf","0","getaddrinfo ENOTFOUND www.acju.lk","Download failed"
"Anuradhapura_Polonnaruwa","April","https://www.acju.lk/wp-content/uploads/2025/07/05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-4-Apr-scaled.jpg","0","getaddrinfo ENOTFOUND www.acju.lk","Download failed"
"Mullaitivu_Kilinochchi_Vavuniya","January","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","February","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","March","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","April","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","May","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","June","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","July","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","August","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","September","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","October","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","November","N/A","N/A","No URL found in source page","Combination not present on website"
"Mullaitivu_Kilinochchi_Vavuniya","December","N/A","N/A","No URL found in source page","Combination not present on website"
"Badulla_Monaragala_Padiyatalawa_Dehiaththakandiya","May","N/A","N/A","No URL found in source page","Combination not present on website"
