location,month,year,source_pdf,rows_expected,rows_extracted,extraction_status,warnings
"Anuradhapura_Polonnaruwa","April",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-4-Apr.pdf",30,30,"success",""
"Anuradhapura_Polonnaruwa","August",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-8-Aug.pdf",31,31,"success",""
"Anuradhapura_Polonnaruwa","December",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-12-Dec.pdf",31,31,"success",""
"Anuradhapura_Polonnaruwa","February",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-2-Feb.pdf",28,29,"warning","Expected 28 days, found 29"
"Anuradhapura_Polonnaruwa","January",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-1-Jan.pdf",31,31,"success",""
"Anuradhapura_Polonnaruwa","July",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-7-July.pdf",31,31,"success",""
"Anuradhapura_Polonnaruwa","June",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-6-June.pdf",30,30,"success",""
"Anuradhapura_Polonnaruwa","March",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-3-Mar.pdf",31,31,"success",""
"Anuradhapura_Polonnaruwa","May",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-5-May.pdf",31,31,"success",""
"Anuradhapura_Polonnaruwa","November",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-11-Nov.pdf",30,30,"success",""
"Anuradhapura_Polonnaruwa","October",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-10-Oct.pdf",31,31,"success",""
"Anuradhapura_Polonnaruwa","September",2026,"05-ANURADHAPURA-DISTRICT-POLONNARUWA-DISTRICT-9-Sep.pdf",30,30,"success",""
